videoID,ID,Religion_PRED,Race_PRED,Gender_PRED,Gender Identity/Sexual Orientation_PRED,Immigration_PRED,Ethnicity/Identitarian/Nationalism_PRED,Anti-semitism_PRED,n_flavors,predicted_at,Active_Columns,Label,TAGS,GroupedTAGS
e24m37EO9Kk,12103 - 12109,0,1,0,0,0,0,0,1,2023-08-10T14:52:22,Race_PRED,Hate,AntiSJW|PartisanRight,AntiSJW
e3R4YGALg_s,12115 - 12140,0,0,0,0,0,1,0,1,2023-08-10T14:52:22,Ethnicity/Identitarian/Nationalism_PRED,Hate,AntiSJW|ReligiousConservative,AntiSJW
e3q-nPOfV80,12110 - 12114,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|PartisanRight,AntiSJW
e57PbKymefA,12141 - 12151,0,1,0,0,0,0,0,1,2023-08-10T14:52:22,Race_PRED,Hate,Mainstream News,Mainstream News
eAzZF-Lh3uI,12179 - 12270,0,1,0,1,0,0,0,2,2023-08-10T14:52:22,"Race_PRED, Gender Identity/Sexual Orientation_PRED",Hate,LGBT|SocialJustice,LGBT
eC7pcMjY9_Q,12301 - 12302,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,PartisanLeft|SocialJustice,Social Justice
eDggPOCea_s,13032 - 13034,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
eE2isvf-N0Y,12376 - 12378,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
eEBpz3tCm9E,12379 - 12381,1,0,0,0,1,0,0,2,2023-08-10T14:52:22,"Religion_PRED, Immigration_PRED",Hate,AntiSJW|AntiTheist|WhiteIdentitarian,White Identitarian
eFf2p0ptdlE,12550 - 12573,0,1,1,1,0,0,0,3,2023-08-10T14:52:22,"Race_PRED, Gender_PRED, Gender Identity/Sexual Orientation_PRED",Hate,AntiTheist|PartisanLeft|SocialJustice,Social Justice
eFfL1-xZHio,12574 - 12578,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,LGBT|SocialJustice,LGBT
eGAM_rcpPzo,12603 - 12604,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,PartisanLeft|SocialJustice,Social Justice
eHavSVJas5E,12605 - 12608,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
eICFmaXyPBY,12610 - 12642,0,0,0,0,0,1,0,1,2023-08-10T14:52:22,Ethnicity/Identitarian/Nationalism_PRED,Hate,LGBT|SocialJustice,LGBT
